UnitId;BeginTime;EndTime;Type;Min;Max;Sum
14100072;2015-03-10 07:12:20;2015-03-10 07:13:20;Gps/GpsAccuracyGyroBias;0;0;0
14100073;2015-03-10 07:12:21;2015-03-10 07:13:20;Hsdpa/SQual;0;17;833
14100074;2015-03-10 07:12:20;2015-03-10 07:13:20;SystemInfo/ManagedMemoryUsage;0;7458144;3.653942E+08
14100075;2015-03-10 07:12:20;2015-03-10 07:13:20;SystemInfo/AvailableDiskSpace;0;4900000;2.587E+08
14100077;2015-03-10 07:12:20;2015-03-10 07:13:20;Gps/GpsGyroMean;0;35295.3;1934020
14100076;2015-03-10 07:12:20;2015-03-10 07:13:20;Gps/GpsTemperature;0;13;722
14100078;2015-03-10 07:12:21;2015-03-10 07:13:20;Hsdpa/NumberOfConnects;0;1;57
14100079;2015-03-10 07:12:20;2015-03-10 07:13:20;Hsdpa/RSSI;29;74;3549
14100010;2015-03-10 07:12:20;2015-03-10 07:13:20;Gps/NumberOfSatellitesTracked;4;9;491
14100011;2015-03-10 07:12:20;2015-03-10 07:13:20;Gps/Speed;0;53.29871;2626.716
14100051;2015-03-10 07:12:20;2015-03-10 07:13:20;SystemInfo/AvailableMemory;0;1.09332E+08;6.199388E+09
14100081;2015-03-10 07:12:20;2015-03-10 07:13:20;Gps/GpsAccuracyGyroScale;0;0;0
14100082;2015-03-10 07:12:20;2015-03-10 07:13:20;SystemInfo/MemoryLoad;0;30;1723
14100083;2015-03-10 07:12:21;2015-03-10 07:13:20;Hsdpa/RSCP;104;0;4241
14100071;2015-03-10 07:12:20;2015-03-10 07:13:20;Gps/GpsPulseScale;0;0.01;0.59
14100071;2015-03-10 07:12:20;2015-03-10 07:13:20;SystemInfo/ProcessorUsage;0;32.36;1612.84
14100071;2015-03-10 07:12:21;2015-03-10 07:13:20;Hsdpa/SRxLev;0;45;2205
14100071;2015-03-10 07:12:20;2015-03-10 07:13:20;Gps/GpsGyroBias;0;0;0
14100071;2015-03-10 07:12:20;2015-03-10 07:13:20;MessageStack/MessageCount;0;5;55
